2020/22, 65, 0.01594929, 0.98405071, 85543, 1364, 84861, 1508511, 17.63, 0.00834970, 0.99165030, 91951, 768, 91567, 1921551, 20.90
2020/22, 66, 0.01743528, 0.98256472, 84178, 1468, 83445, 1423651, 16.91, 0.00911104, 0.99088896, 91183, 831, 90767, 1829984, 20.07
2020/22, 67, 0.01895626, 0.98104374, 82711, 1568, 81927, 1340206, 16.20, 0.00975485, 0.99024515, 90352, 881, 89911, 1739217, 19.25
2020/22, 68, 0.02063084, 0.97936916, 81143, 1674, 80306, 1258279, 15.51, 0.01081606, 0.98918394, 89471, 968, 88987, 1649305, 18.43
2020/22, 69, 0.02231726, 0.97768274, 79469, 1774, 78582, 1177973, 14.82, 0.01193152, 0.98806848, 88503, 1056, 87975, 1560319, 17.63
2020/22, 70, 0.02385767, 0.97614233, 77695, 1854, 76769, 1099391, 14.15, 0.01298143, 0.98701857, 87447, 1135, 86879, 1472344, 16.84
2020/22, 71, 0.02601351, 0.97398649, 75842, 1973, 74855, 1022623, 13.48, 0.01426390, 0.98573610, 86312, 1231, 85696, 1385464, 16.05
2020/22, 72, 0.02774052, 0.97225948, 73869, 2049, 72844, 947767, 12.83, 0.01566548, 0.98433452, 85081, 1333, 84414, 1299768, 15.28
2020/22, 73, 0.03062776, 0.96937224, 71820, 2200, 70720, 874923, 12.18, 0.01736568, 0.98263432, 83748, 1454, 83021, 1215354, 14.51
2020/22, 74, 0.03263171, 0.96736829, 69620, 2272, 68484, 804203, 11.55, 0.01881626, 0.98118374, 82293, 1548, 81519, 1132333, 13.76
2020/22, 75, 0.03621112, 0.96378888, 67348, 2439, 66129, 735719, 10.92, 0.02117195, 0.97882805, 80745, 1710, 79890, 1050814, 13.01
2020/22, 76, 0.03854289, 0.96145711, 64909, 2502, 63658, 669591, 10.32, 0.02312367, 0.97687633, 79035, 1828, 78122, 970924, 12.28
2020/22, 77, 0.04272360, 0.95727640, 62408, 2666, 61074, 605932, 9.71, 0.02603233, 0.97396767, 77208, 2010, 76203, 892802, 11.56
2020/22, 78, 0.04671341, 0.95328659, 59741, 2791, 58346, 544858, 9.12, 0.02894780, 0.97105220, 75198, 2177, 74110, 816599, 10.86
2020/22, 79, 0.05058769, 0.94941231, 56951, 2881, 55510, 486512, 8.54, 0.03202169, 0.96797831, 73021, 2338, 71852, 742490, 10.17
2020/22, 80, 0.05742838, 0.94257162, 54070, 3105, 52517, 431002, 7.97, 0.03671192, 0.96328808, 70683, 2595, 69385, 670638, 9.49
2020/22, 81, 0.06364272, 0.93635728, 50964, 3244, 49343, 378485, 7.43, 0.04139273, 0.95860727, 68088, 2818, 66679, 601252, 8.83
2020/22, 82, 0.07117296, 0.92882704, 47721, 3396, 46023, 329142, 6.90, 0.04769522, 0.95230478, 65270, 3113, 63713, 534573, 8.19
2020/22, 83, 0.07988296, 0.92011704, 44325, 3541, 42554, 283119, 6.39, 0.05492796, 0.94507204, 62157, 3414, 60450, 470860, 7.58
2020/22, 84, 0.09006952, 0.90993048, 40784, 3673, 38947, 240565, 5.90, 0.06345531, 0.93654469, 58742, 3728, 56879, 410411, 6.99
2020/22, 85, 0.10299344, 0.89700656, 37110, 3822, 35199, 201618, 5.43, 0.07465020, 0.92534980, 55015, 4107, 52962, 353532, 6.43
2020/22, 86, 0.11663819, 0.88336181, 33288, 3883, 31347, 166419, 5.00, 0.08651822, 0.91348178, 50908, 4404, 48706, 300570, 5.90
2020/22, 87, 0.13348160, 0.86651840, 29406, 3925, 27443, 135072, 4.59, 0.10097498, 0.89902502, 46504, 4696, 44156, 251865, 5.42
2020/22, 88, 0.14798808, 0.85201192, 25480, 3771, 23595, 107629, 4.22, 0.11417090, 0.88582910, 41808, 4773, 39421, 207709, 4.97
2020/22, 89, 0.16885600, 0.83114400, 21710, 3666, 19877, 84034, 3.87, 0.13149788, 0.86850212, 37035, 4870, 34600, 168288, 4.54
2020/22, 90, 0.18891546, 0.81108454, 18044, 3409, 16339, 64157, 3.56, 0.15143269, 0.84856731, 32165, 4871, 29729, 133688, 4.16
2020/22, 91, 0.20911492, 0.79088508, 14635, 3060, 13105, 47818, 3.27, 0.17119759, 0.82880241, 27294, 4673, 24958, 103959, 3.81
2020/22, 92, 0.23679869, 0.76320131, 11575, 2741, 10204, 34713, 3.00, 0.19328304, 0.80671696, 22621, 4372, 20435, 79001, 3.49
2020/22, 93, 0.25746006, 0.74253994, 8834, 2274, 7697, 24508, 2.77, 0.21502978, 0.78497022, 18249, 3924, 16287, 58566, 3.21
2020/22, 94, 0.28397340, 0.71602660, 6559, 1863, 5628, 16812, 2.56, 0.23918564, 0.76081436, 14325, 3426, 12612, 42279, 2.95
2020/22, 95, 0.30858525, 0.69141475, 4697, 1449, 3972, 11184, 2.38, 0.26335620, 0.73664380, 10899, 2870, 9463, 29667, 2.72
2020/22, 96, 0.34011514, 0.65988486, 3247, 1104, 2695, 7212, 2.22, 0.29354313, 0.70645687, 8028, 2357, 6850, 20204, 2.52
2020/22, 97, 0.35548447, 0.64451553, 2143, 762, 1762, 4516, 2.11, 0.31303201, 0.68696799, 5672, 1775, 4784, 13354, 2.35
2020/22, 98, 0.36901386, 0.63098614, 1381, 510, 1126, 2754, 1.99, 0.34171013, 0.65828987, 3896, 1331, 3231, 8570, 2.20
2020/22, 99, 0.39304405, 0.60695595, 871, 343, 700, 1628, 1.87, 0.35862761, 0.64137239, 2565, 920, 2105, 5339, 2.08
2020/22, 100, 0.41781413, 0.58218587, 529, 221, 418, 928, 1.75, 0.37813937, 0.62186063, 1645, 622, 1334, 3234, 1.97
